COM,ROA,ROS,CR,D/E,ROE,D/A,QR
abs,0.0092,0.0425,1.3574,0.6483,0.0152,0.3933,1.3005
ceo,-0.0004,-0.0123,1.2376,1.1823,-0.0010,0.5418,0.8979
dxg,0.0056,0.1992,2.3488,1.3590,0.0133,0.5761,1.2495
hdc,0.0167,0.2847,1.5150,1.1467,0.0359,0.5342,0.5866
idi,0.0020,0.0102,1.2374,1.5605,0.0052,0.6095,0.8682
idv,0.0168,0.4724,4.8364,2.4115,0.0574,0.7069,4.2583
ita,0.0019,0.2728,3.1832,0.2512,0.0024,0.2008,0.9999
kbc,0.0073,0.2421,2.6203,0.7557,0.0128,0.4304,1.3804
kdh,0.0114,0.2211,2.7716,0.7389,0.0198,0.4249,1.1914
lhg,0.0258,0.3060,2.3955,0.9533,0.0504,0.4880,1.5395
ndn,0.0017,0.5435,1.3511,2.2220,0.0056,0.6896,0.8094
nlg,0.0113,0.2968,2.6330,0.7332,0.0196,0.4230,1.1569
nvl,0.0031,0.2968,3.5997,2.7362,0.0115,0.7323,0.7262
pdr,0.0118,0.2512,3.5325,2.2528,0.0382,0.6926,0.7567
ree,0.0153,0.2543,1.6590,0.8180,0.0279,0.4499,1.3764
sdi,0.0969,0.2324,0.2101,0.7728,0.1717,0.4359,0.1823
sgr,0.0103,2.0142,1.3019,2.1098,0.0322,0.6784,0.8488
szl,0.0134,0.2566,5.3942,1.2773,0.0305,0.5609,4.8051
vhm,0.0416,1.2956,1.1677,1.8063,0.1168,0.6437,0.6587
vic,0.0014,0.0372,1.0009,2.3872,0.0047,0.7048,0.5542
vre,0.0133,0.2921,0.9893,0.3450,0.0179,0.2565,0.8080
